These are the redirects that are being changed. 
09/29/17 12:16
from_path: /special-events/benson-great-hall to_url changing from: http://www.bethel.edu/events/arts/venues/benson/ to: https://www.bethel.edu/events/arts/venues/benson/
from_path: /special-events/benson-great-hall/ to_url changing from: http://www.bethel.edu/events/arts/venues/benson/ to: https://www.bethel.edu/events/arts/venues/benson/
from_path: /welcome-week to_url changing from: http://cas.bethel.edu/student-life/welcome-week/ to: https://www.bethel.edu/undergrad/student-life/welcome-week/
from_path: /special-events/FAQ.html to_url changing from: http://www.bethel.edu/about/ to: https://www.bethel.edu/about/
from_path: /special-events/FAQ.htm to_url changing from: http://www.bethel.edu/about/ to: https://www.bethel.edu/about/
from_path: /bgcarchives/index.html to_url changing from: http://www.bethel.edu/bgc-archives/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/holdings/index.html to_url changing from: http://www.bethel.edu/bgc-archives/holdings to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/services/index.html to_url changing from: http://www.bethel.edu/bgc-archives/services to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/fees/index.html to_url changing from: http://www.bethel.edu/bgc-archives/fees to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/requests-on/index.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/oncampus/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-off/index.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/offcampus/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/history/index.html to_url changing from: http://www.bethel.edu/bgc-archives/history to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/index.html to_url changing from: http://www.bethel.edu/bgc-archives/friends-of-archives to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/links/index.html to_url changing from: http://www.bethel.edu/bgc-archives/links to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/index.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-off/verify.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/holdings-off to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-off/donate.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/donate-off to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-on/verify.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/holdings-oc to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-on/transfer.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/transfer-oc to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/request-on/loan.html to_url changing from: http://www.bethel.edu/bgc-archives/request-forms/loan-oc to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/index.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/index to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/dahlquist.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/lloyd-dahlquist to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/tapper.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/william-tapper to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/sheveland.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/jerry-sheveland to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/magnuson.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/warren-magnuson to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/bgc-leaders/ricker.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/bgc/robert-ricker to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/index.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/edgren.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/john-edgren to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/sandell.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/eric-sandell to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/lagergren.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/carl-lagergren to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/gordh.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/j-gordh to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/karlson.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/karl-karlson to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/omark.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/edwin-omark to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/johnson.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/gordon-johnson to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/erickson.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/millard-erickson to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/prinzing.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/fred-prinzing to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/friends/publications/deans/eliason.html to_url changing from: http://www.bethel.edu/bgc-archives/leaders/seminary/leland-eliason to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/index.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/ to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/california.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/california to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/colorado.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/colorado to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/connecticut.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/connecticut to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/iowa.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/iowa to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/illinois.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/illinois to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/kansas.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/kansas to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/maine.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/maine to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/massechusetts.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/massechusetts to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/michigan.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/michigan to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/minnesota.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/minnesota to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/montana.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/montana to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/nebraska.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/nebraska to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/newyork.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/new-york to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/ohio.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/ohio to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/oregon.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/oregon to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/pennsylvania.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/pennsylvania to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/southdakota.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/south-dakota to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/washington.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/washington to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/washingtonDC.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/washington-dc to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/wisconsin.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/wisconsin to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/wyoming.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/wyoming to: https://www.bethel.edu/history-center/
from_path: /bgcarchives/tour/sweden.html to_url changing from: http://www.bethel.edu/bgc-archives/tour/sweden to: https://www.bethel.edu/history-center/
from_path: /campus-ministries/vespers/ to_url changing from: http://cas.bethel.edu/campus-ministries/worship/vespers to: https://www.bethel.edu/undergrad/campus-ministries/worship/vespers
from_path: /development to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/index to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/index.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/give-to-bethel to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/ to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/online to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/online/ to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/faq to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/faq/ to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/give-to-bethel/securities to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/give-to-bethel/securities/ to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/planned-giving/royal-heritage to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/planned-giving/royal-heritage/ to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/annual-fund to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/annual-fund/ to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/annual-fund/presidents-club to_url changing from: http://www.bethel.edu/giving/bethel-fund/donate to: https://www.bethel.edu/giving/bethel-fund/donate
from_path: /development/annual-fund/presidents-club/ to_url changing from: http://www.bethel.edu/giving/bethel-fund/donate to: https://www.bethel.edu/giving/bethel-fund/donate
from_path: /development/annual-fund/alumni to_url changing from: http://www.bethel.edu/giving/bethel-fund/donate to: https://www.bethel.edu/giving/bethel-fund/donate
from_path: /development/annual-fund/alumni/ to_url changing from: http://www.bethel.edu/giving/bethel-fund/donate to: https://www.bethel.edu/giving/bethel-fund/donate
from_path: /development/annual-fund/royal-investors to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/annual-fund/royal-investors/ to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/annual-fund/church to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/annual-fund/church/ to_url changing from: http://www.bethel.edu/giving/bethel-fund/ to: https://www.bethel.edu/giving/bethel-fund/
from_path: /development/seminary to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/seminary/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/raa to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/raa/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/contact to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
